forecast_time,station_id,station_name,longitude,latitude,elevation,temperature,maximumtemperature,minimumtemperature
2017060618,2842,Olkiluoto,21.4300,61.2400,8,,,
2017060618,2844,Pello kk,23.9638,66.7724,85,13.3,15.1,9.5
2017060618,2845,Rovaniemi lentoasema,25.8321,66.5584,193,11.4,12.8,8.4
2017060618,2847,Rovaniemi Keskusta,25.7089,66.4980,85,12.6,14.0,9.1
2017060618,2849,Salla kk paloasema,28.6747,66.8333,215,11.5,15.4,9.8
2017060618,2850,Varkaus Kosulanniemi,27.9078,62.3219,83,15.2,19.6,13.4
2017060618,2851,Oulunsalo Pellonpää,25.3722,64.9375,10,13.2,16.4,11.4
2017060618,2852,Kokkola Hollihaka,23.1247,63.8442,6,14.4,17.5,12.4
2017060618,2857,Inari Angeli,25.7375,68.9024,285,8.4,11.6,7.0
2017060618,2858,Inari KirakkajÃ¿rvi,28.9014,69.5808,106,12.4,17.3,10.7
2017060618,2859,Puolanka Paljakka,28.0603,64.6636,341,9.4,14.3,8.4
2017060618,2860,Kittilä Kirkonkylä,24.9058,67.6516,181,11.2,13.2,8.0
2017060618,2862,Kemi Ajos,24.5158,65.6725,3,8.8,10.6,7.1
2017060618,2864,Kemi Lentoasema,24.5800,65.7833,10,9.7,,
2017060618,2866,Pudasjärvi lentokenttä,26.9636,65.3994,120,13.9,15.3,9.9
2017060618,2868,Kuusamo Rukatunturi,29.1519,66.1652,500,10.1,12.8,8.4
2017060618,2869,Kuusamo kk Kolvanki,29.2228,65.9951,264,11.9,,
2017060618,2872,Raahe Lapaluoto,24.4075,64.6656,2,12.8,14.1,10.1
2017060618,2873,Hailuoto Marjaniemi,24.5667,65.0333,7,11.9,11.4,7.4
2017060618,2874,Hailuoto Ojakylä,24.7281,65.0193,7,13.0,14.4,9.8
2017060618,2876,Oulu Vihreäsaari,25.3936,65.0058,3,13.6,14.8,10.7
2017060618,2880,Tornio Torppi,24.1775,65.8467,8,8.0,11.4,7.3
2017060618,2881,Ranua lentokenttä,26.3680,65.9764,161,11.3,13.9,8.2
2017060618,2883,Kajaani Pet?isenniska,27.7550,64.2167,160,13.6,15.8,10.5
2017060618,2888,Inari Sietaalassa,27.7611,69.0477,120,8.2,12.7,7.0
2017060618,2889,Suomussalmi Pesiö,28.7469,64.9308,223,11.2,15.4,9.4
2017060618,2890,Utsjoki Kevoj?rvi,27.0150,69.7569,76,10.7,15.0,8.9
2017060618,2903,Kruunupyy,23.1391,63.7173,26,,,
2017060618,2906,Kemiö,22.7608,60.1714,12,14.6,18.7,12.9
2017060618,2907,Ulkokalla,23.4469,64.3307,3,8.5,10.0,7.0
2017060618,2910,Mustasaari Valassaaret,21.0650,63.4353,4,9.9,13.4,9.1
2017060618,2913,Kauhava lentokenttä,23.0439,63.1202,42,15.8,19.0,12.6
2017060618,2914,Kauhava kk Uunimaantie,23.0439,63.1200,32700,,,
2017060618,2915,Viitasaari kk Haapaniemi,25.8587,63.0819,130,15.5,19.6,12.8
2017060618,2917,Siilinjärvi Kuopion lentoasema,27.7992,63.0080,96,15.5,,
2017060618,2919,Lappenranta Hiekkapakka,28.4758,61.1978,77,16.1,18.3,12.9
2017060618,2920,Pietarsaari Kallan,22.5233,63.7512,2,11.1,12.6,8.2
2017060618,2924,Ähtäri Myllymäki,24.2175,62.5347,159,14.6,18.9,12.2
2017060618,2926,Pori rautatieasema,21.7831,61.4789,9,15.6,18.4,13.0
2017060618,2927,Multia Karhila,24.8103,62.5100,227,14.3,18.5,12.4
2017060618,2928,Joensuu Linnunlahti,29.7234,62.6014,81,13.2,16.5,11.4
2017060618,2929,Joensuu lentoasema,29.6113,62.6595,118,13.4,,
2017060618,2930,Sipoo Eestiluoto,25.2226,60.1244,13,,,
2017060618,2931,Kaskinen S?lgrund,21.2000,62.3300,5,11.3,13.4,9.9
2017060618,2934,Helsinki Rautatientori,24.9478,60.1715,3,15.6,18.2,13.3
2017060618,2935,Jyväskylä lentoasema,25.6752,62.4021,139,15.0,20.0,13.2
2017060618,2937,Kokemäki Tulkkila,22.3496,61.2528,38,17.1,20.5,13.8
2017060618,2939,Ilomantsi Mekrijärvi,30.9744,62.7692,155,12.9,16.6,11.3
2017060618,2944,Tampere-Pirkkalan lentoasema,23.6200,61.4206,112,15.6,,
2017060618,2945,Kuorevesi lentokenttä,24.7858,61.8564,143,15.6,,
2017060618,2947,Mikkeli lentoasema,27.2066,61.6872,99,13.8,20.6,13.4
2017060618,2948,Savonlinna Lentoasema,28.9314,61.9461,93,12.5,,
2017060618,2949,Somero Salkola,23.8092,60.6464,142,15.3,19.5,12.8
2017060618,2950,Fagerholm,21.6994,60.1115,3,13.2,15.9,11.8
2017060618,2955,Kuopio Yliopisto,27.6334,62.8923,87,15.2,19.0,12.7
2017060618,2956,Utti Lentoportintie,26.9411,60.8903,99,15.6,19.8,13.5
2017060618,2957,Vaasa Klemettilä,21.6432,63.0986,7,15.0,17.5,12.7
2017060618,2958,Lappeenranta lentoasema,28.1507,61.0439,105,15.7,,
2017060618,2963,Jokioinen observatorio,23.4976,60.8139,104,16.2,20.0,13.7
2017060618,2964,Kustavi Isokari,21.0268,60.7222,4,12.0,14.9,10.8
2017060618,2965,Lahti Laune,25.6308,60.9619,78,15.6,20.8,13.1
2017060618,2967,Kotka Haapasaari,27.1850,60.2864,4,12.2,14.2,10.6
2017060618,2970,Maarianhamina lentoasema,19.9035,60.1247,5,,,
2017060618,2974,Helsinki-Vantaan lentoasema,24.9622,60.3253,51,17.1,20.6,14.6
2017060618,2976,Kotka Rankki,26.9582,60.3752,11,12.1,15.4,11.4
2017060618,2978,Helsinki Kaisaniemi,24.9444,60.1750,4,15.0,18.1,13.6
2017060618,2979,Bogskär,20.3522,59.5056,4,11.2,12.6,10.2
2017060618,2980,Lemland Nyhamn,19.9540,59.9591,8,11.4,12.9,10.0
2017060618,2981,Korppoo Utö,21.3678,59.7842,9,11.3,14.6,10.8
2017060618,2982,Hanko Russarö,22.9486,59.7736,5,12.2,15.1,11.3
2017060618,2983,Nurmijärvi geofys observatorio,24.6536,60.5086,111,16.2,20.5,13.6
2017060618,2984,Inkoo Bågaskär,24.0139,59.9310,12,11.7,16.2,11.1
2017060618,2986,Espoo Nuuksio,24.5679,60.2913,90,,,
2017060618,2987,Kalbådagrund,25.5983,59.9850,0,12.2,13.4,10.2
2017060618,2989,Helsinki majakka,24.9267,59.9483,0,12.1,13.4,10.1
2017060618,2991,Porvoon mlk Emäsalo,25.6253,60.2036,20,13.1,15.6,11.6
2017060618,2992,Pernaja Orrengrund,26.4443,60.2747,5,12.4,15.2,11.0
2017060618,2993,Märket,19.1315,60.3010,3,11.3,13.4,9.9
2017060618,2997,Maarianhamina L?nsisatama,19.9207,60.0914,3,,,
2017060618,2998,Helsinki Kumpula,24.9608,60.2025,24,15.0,19.3,13.7
2017060618,3002,Baltasound No.2,-0.8556,60.7483,15,10.9,12.4,
2017060618,3005,Lerwick,-1.1847,60.1392,82,10.5,11.7,
2017060618,3008,Fair Isle,-1.6275,59.5264,57,10.5,11.4,
2017060618,3010,Sule Skerry,-4.4044,59.0825,12,10.3,,
2017060618,3014,Foula No2,-2.0647,60.1105,22,,,
